2026-09-25 04:54:49 - Step 1 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.154 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 1 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.180 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 1 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.049 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 3 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.171 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 3 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.488 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 5 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.213 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 7 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.183 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 9 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.136 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:49 - Step 12 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.436 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 14 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.209 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 14 | Zone 1 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.287 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 14 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.206 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 16 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.175 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 16 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.033 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 18 | Zone 2 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.048 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 19 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.154 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 20 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.027 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 20 | Zone 4 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.159 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 22 | Zone 0 | REJECTED [DEMAND_SPIKE] | SOC 0.137 | Proposed 0.061 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:50 - Step 23 | Zone 2 | REJECTED [DEMAND_SPIKE] | SOC 0.716 | Proposed 0.318 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:50 - Step 23 | Zone 3 | REJECTED [DEMAND_SPIKE] | SOC 0.792 | Proposed 0.321 -> Applied 0.000 | Building demand exceeded the allowed multiple of its recent average. Charging now would add to a demand spike and raise peak-demand cost.
2026-09-25 04:54:50 - Step 29 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.032 | Proposed -0.278 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 32 | Zone 4 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.319 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 33 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.033 | Proposed -0.002 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 36 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.277 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 36 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.318 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 39 | Zone 3 | REJECTED [SOC_HIGH] | SOC 0.959 | Proposed 0.490 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 39 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.486 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 43 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.171 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 49 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.025 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 50 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed 0.061 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 50 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.008 | Proposed -0.304 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 51 | Zone 3 | REJECTED [SOC_LOW] | SOC 0.012 | Proposed -0.271 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 52 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.163 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 52 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.350 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 66 | Zone 1 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.364 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 66 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.214 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 67 | Zone 2 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.173 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 69 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.020 | Proposed 0.079 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 72 | Zone 0 | REJECTED [SOC_HIGH] | SOC 0.966 | Proposed 0.124 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 72 | Zone 2 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed -0.089 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 73 | Zone 1 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.170 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 75 | Zone 1 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed -0.009 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 77 | Zone 4 | REJECTED [SOC_HIGH] | SOC 0.997 | Proposed 0.246 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 78 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.038 | Proposed -0.372 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 78 | Zone 2 | REJECTED [SOC_HIGH] | SOC 0.982 | Proposed -0.031 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 82 | Zone 3 | REJECTED [SOC_HIGH] | SOC 1.000 | Proposed 0.279 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 83 | Zone 4 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.484 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 84 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.364 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
2026-09-25 04:54:50 - Step 85 | Zone 1 | REJECTED [SOC_HIGH] | SOC 0.964 | Proposed -0.015 -> Applied -0.100 | Battery SOC is above the safe maximum. Continuing to charge risks overcharge and battery degradation.
2026-09-25 04:54:50 - Step 87 | Zone 0 | REJECTED [SOC_LOW] | SOC 0.000 | Proposed -0.227 -> Applied 0.100 | Battery SOC is below the safe minimum. Continuing to discharge risks an empty battery and forced grid import.
